ASV	L1_L_fab_gut2	L1_L_nod_BF2	L1_L_obt_gut1	L1_L_obt_gut2	L1_L_obt_gut3	L1_L_obt_gut5	L1_L_obt_gut6	L1_L_obt_gut7	L1_L_obt_gut8	L1_L_ser_BF1	L1_L_ser_BF2	L1_L_stones_BF1	L1_L_ves_BF1	L1_L_ves_BF2	L1_L_ves_BF3	L1_U_obt_gut1	L1_U_obt_gut2	L1_U_obt_gut3	L1_U_obt_gut7	L11_L_fab_gut2	L11_L_fab_gut3	L11_L_fab_gut4	L11_L_fab_gut5	L11_L_fab_gut6	L11_L_fab_gut7	L11_L_fab_gut8	L11_L_fab_tent1	L11_L_fab_tent2	L11_L_fill_BF1	L11_L_fill_BF2	L11_L_fill_BF3	L11_L_nod_BF2	L11_L_nod_BF3	L11_L_obt_gut3	L11_L_obt_gut4	L11_L_obt_gut5	L11_L_obt_gut6	L11_L_obt_gut7	L11_L_obt_gut8	L11_L_obt_tent1	L11_L_obt_tent2	L11_L_stones_BF1	L11_L_stones_BF2	L11_L_stones_BF3	L11_U_fill_BF1	L11_U_nod_BF2	L11_U_obt_gut1	L11_U_obt_gut2	L11_U_obt_gut3	L11_U_obt_gut4	L11_U_obt_gut5	L11_U_obt_gut8	L11_U_obt_tent2	L11_U_stones_BF1	L11_U_stones_BF3	L5_L_fab_gut1	L5_L_fab_gut3	L5_L_fab_gut5	L5_L_fab_gut6	L5_L_fab_gut7	L5_L_fab_gut8	L5_L_nod_BF2	L5_L_obt_gut1	L5_L_obt_gut3	L5_L_obt_gut4	L5_L_obt_gut7	L5_L_obt_gut8	L5_L_stones_BF2	L5_L_ves_BF3	L5_U_fill_BF1	L5_U_fill_BF2	L5_U_nod_BF1	L5_U_nod_BF3	L5_U_obt_gut1	L5_U_obt_gut2	L5_U_obt_gut4	L5_U_obt_gut5	L5_U_obt_gut6	L5_U_obt_gut8	L5_U_obt_tent2	
9649e10b7ac4cbf71df2dff8a5ae088a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
97bb72dc495f9dd517fa3bab5a8d3a31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5c5f876d69e700b5f885feb4e49c4246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1375651845e8a41f98de24f3e4e37856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
877978f1f117fd8641a040eeb0c01ace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
629951619869f58f55b8304df97e4593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6e5518b051ded5b8ba271220b5bee370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0
0c3f139bfc4e882707f2334580057b94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43ce2baf897a3231adc466ccd13b1128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
db850f027f020a58db5e8b2869ec9f2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
