sample	site	species	sp_type	subtype	type	sufficient	level	sea	season	season_time	season_site	season_site_level
L1_L_fab_gut2	L1	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_June_fab_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_nod_BF2	L1	A_nodosum	A_nodosum_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut1	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut2	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut3	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut5	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut6	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut7	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_obt_gut8	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_ser_BF1	L1	F_serratus	F_serratus_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_ser_BF2	L1	F_serratus	F_serratus_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_stones_BF1	L1	stones	stones_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_ves_BF1	L1	F_vesiculosus	F_vesiculosus_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_ves_BF2	L1	F_vesiculosus	F_vesiculosus_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_L_ves_BF3	L1	F_vesiculosus	F_vesiculosus_e	environment	environment	White_June_EB	Lower	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Lower
L1_U_obt_gut1	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Upper
L1_U_obt_gut2	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Upper
L1_U_obt_gut3	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Upper
L1_U_obt_gut7	L1	L_obtusata	L_obtusata_g	L_obtusata_g	gut	White_June_obt_GB	Upper	White	June_2021	early_summer_White	early_summer_White	early_summer_White_Upper
L11_L_fab_gut2	L11	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_Nov_fab_GB	Lower	White	November_2021	November_White	November_White	November_White_Lower
L11_L_fab_gut3	L11	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_Nov_fab_GB	Lower	White	November_2021	November_White	November_White	November_White_Lower
L11_L_fab_gut4	L11	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_Nov_fab_GB	Lower	White	November_2021	November_White	November_White	November_White_Lower
L11_L_fab_gut5	L11	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_Nov_fab_GB	Lower	White	November_2021	November_White	November_White	November_White_Lower
L11_L_fab_gut6	L11	L_fabalis	L_fabalis_g	L_fabalis_g	gut	White_Nov_fab_GB	Lower	White	November_2021	November_White	November_White	November_White_Lower
