ASV	Domain	Phylum	Class	Order	Family	Genus	Species	
9649e10b7ac4cbf71df2dff8a5ae088a	d__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Microtrichaceae	 g__uncultured	 s__uncultured_Acidimicrobiales
97bb72dc495f9dd517fa3bab5a8d3a31	d__Bacteria	 p__Planctomycetota	 c__OM190	 o__OM190	 f__OM190	 g__OM190	
5c5f876d69e700b5f885feb4e49c4246	d__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcales-Tissierellales	 g__Anaerococcus	 s__Anaerococcus_vaginalis
1375651845e8a41f98de24f3e4e37856	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Portibacter	
877978f1f117fd8641a040eeb0c01ace	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Opitutales	 f__Puniceicoccaceae	 g__Lentimonas	 s__uncultured_bacterium
629951619869f58f55b8304df97e4593	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Lewinella	
6e5518b051ded5b8ba271220b5bee370	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__Blastopirellula	 s__uncultured_bacterium
0c3f139bfc4e882707f2334580057b94	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Schleiferiaceae	 g__Schleiferia	 s__uncultured_deep-sea
43ce2baf897a3231adc466ccd13b1128	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__Hellea	
db850f027f020a58db5e8b2869ec9f2d	d__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__Phycisphaeraceae	 g__Urania-1B-19_marine_sediment_group	
c493d93ea5299c43c68fdb3becbb7f17	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Verrucomicrobiales	 f__Rubritaleaceae	 g__Rubritalea	 s__uncultured_bacterium
